loc,xmin,ymin,xmax,ymax,confidence,class,name
Je1sunhwan,389.7190246582031,209.22259521484375,447.5094299316406,247.0601348876953,0.736625075340271,2,car
Je1sunhwan,217.45321655273438,164.12977600097656,246.8585968017578,191.8177947998047,0.7224578857421875,2,car
Je1sunhwan,138.92738342285156,165.39076232910156,163.89154052734375,192.6239013671875,0.7126050591468811,2,car
Je1sunhwan,96.09034729003906,169.46578979492188,124.16710662841797,198.50112915039062,0.639795184135437,2,car
Je1sunhwan,330.779541015625,165.10549926757812,366.883056640625,187.81973266601562,0.6222336292266846,2,car
Je1sunhwan,118.25423431396484,133.929931640625,138.41360473632812,156.14268493652344,0.5459075570106506,2,car
Je1sunhwan,203.00616455078125,256.02789306640625,269.0798034667969,313.31451416015625,0.5240658521652222,7,truck
Je1sunhwan,295.2328796386719,125.18639373779297,316.072265625,139.6990966796875,0.4939075708389282,2,car
Je1sunhwan,157.43597412109375,120.68350982666016,172.9845733642578,132.39697265625,0.43152937293052673,2,car
Je1sunhwan,218.58523559570312,128.63641357421875,237.3599853515625,145.99681091308594,0.3679187297821045,2,car
Je1sunhwan,432.13818359375,184.70680236816406,501.69281005859375,238.242919921875,0.3568709194660187,7,truck
Je1sunhwan,250.6028594970703,125.63742065429688,280.24188232421875,146.60069274902344,0.354641318321228,2,car
Je1sunhwan,83.46241760253906,84.45655822753906,100.90630340576172,109.0096206665039,0.3371737003326416,7,truck
Je1sunhwan,132.08094787597656,123.6678695678711,148.21286010742188,137.3372802734375,0.3187673091888428,2,car
Je1sunhwan,115.93950653076172,108.06675720214844,131.17408752441406,122.3663558959961,0.2750718593597412,2,car
Je1sunhwan,337.86322021484375,246.93255615234375,407.2874755859375,292.25518798828125,0.26014387607574463,2,car
