camera_name,time,xmin,ymin,xmax,ymax,confidence,class,name
DaeyaIntersection,2023-08-07 10:32:20.982046,105.85371398925781,350.8799133300781,142.5865020751953,377.5773010253906,0.8069294691085815,2,car
DaeyaIntersection,2023-08-07 10:32:20.982046,135.34396362304688,269.8965148925781,181.54824829101562,339.38824462890625,0.7834100127220154,7,truck
DaeyaIntersection,2023-08-07 10:32:20.982046,179.4513702392578,289.7244567871094,211.24606323242188,330.4919128417969,0.7615852355957031,2,car
DaeyaIntersection,2023-08-07 10:32:20.982046,0.0,303.1452331542969,35.790687561035156,344.37835693359375,0.7146996259689331,2,car
DaeyaIntersection,2023-08-07 10:32:20.982046,288.609375,148.02410888671875,303.6965026855469,165.29969787597656,0.656274139881134,2,car
DaeyaIntersection,2023-08-07 10:32:20.982046,124.40572357177734,102.61585235595703,147.95948791503906,114.94192504882812,0.6554759740829468,2,car
DaeyaIntersection,2023-08-07 10:32:20.982046,223.80908203125,269.0347900390625,251.3104705810547,300.4832458496094,0.6533196568489075,2,car
DaeyaIntersection,2023-08-07 10:32:20.982046,159.4930419921875,327.86529541015625,184.75350952148438,368.507568359375,0.5836200714111328,2,car
DaeyaIntersection,2023-08-07 10:32:20.982046,312.1700744628906,178.63153076171875,329.1230773925781,195.8823699951172,0.5779308676719666,2,car
DaeyaIntersection,2023-08-07 10:32:20.982046,270.8175964355469,125.80631256103516,284.0433654785156,142.38446044921875,0.42700108885765076,2,car
DaeyaIntersection,2023-08-07 10:32:20.982046,92.0060043334961,192.7301025390625,115.34502410888672,221.06936645507812,0.284070760011673,7,truck
DaeyaIntersection,2023-08-07 10:32:20.982046,201.10403442382812,95.10553741455078,210.79248046875,108.16880798339844,0.2656130790710449,2,car
