loc,xmin,ymin,xmax,ymax,confidence,class,name
Je1sunhwan,386.6369323730469,207.70033264160156,449.9189758300781,250.79762268066406,0.7638355493545532,2,car
Je1sunhwan,138.35337829589844,162.82876586914062,164.14866638183594,191.1603546142578,0.7529711723327637,2,car
Je1sunhwan,331.03826904296875,165.45309448242188,367.23760986328125,188.7689666748047,0.7479052543640137,2,car
Je1sunhwan,215.07882690429688,163.73594665527344,248.1465301513672,191.2452850341797,0.6743068099021912,2,car
Je1sunhwan,96.6369857788086,169.9500274658203,124.33511352539062,199.74627685546875,0.6685299873352051,2,car
Je1sunhwan,201.67930603027344,257.2266845703125,268.53424072265625,314.3615417480469,0.6471174359321594,7,truck
Je1sunhwan,430.2510681152344,183.1409149169922,502.1966857910156,241.47621154785156,0.6460869312286377,7,truck
Je1sunhwan,490.23193359375,175.11451721191406,562.2911987304688,247.0482940673828,0.6179227232933044,7,truck
Je1sunhwan,117.77550506591797,132.04190063476562,137.70843505859375,155.6704864501953,0.6008816361427307,2,car
Je1sunhwan,340.313232421875,244.3705291748047,406.60040283203125,292.315185546875,0.5203546285629272,2,car
Je1sunhwan,157.1187286376953,119.56793975830078,173.5023651123047,134.36795043945312,0.4833695590496063,2,car
Je1sunhwan,212.9688262939453,128.0086669921875,236.52391052246094,144.8025665283203,0.45938628911972046,2,car
Je1sunhwan,132.2673797607422,125.04207611083984,147.76080322265625,137.75933837890625,0.42351657152175903,2,car
Je1sunhwan,294.66107177734375,124.1196517944336,318.980224609375,142.88943481445312,0.36147940158843994,2,car
Je1sunhwan,351.1553955078125,152.7086944580078,388.0201416015625,178.41761779785156,0.2913350760936737,2,car
