camera_name,time,xmin,ymin,xmax,ymax,confidence,class,name
DaeyaIntersection,2023-08-10 16:32:19.934794,179.9980926513672,290.04095458984375,211.4037628173828,331.53607177734375,0.8320023417472839,2,car
DaeyaIntersection,2023-08-10 16:32:19.934794,104.90194702148438,350.7257995605469,142.75,377.3570556640625,0.8059401512145996,2,car
DaeyaIntersection,2023-08-10 16:32:19.934794,224.63998413085938,269.4584655761719,251.20176696777344,299.8321228027344,0.778795063495636,2,car
DaeyaIntersection,2023-08-10 16:32:19.934794,312.3084716796875,179.48789978027344,329.26849365234375,196.07411193847656,0.7659611701965332,2,car
DaeyaIntersection,2023-08-10 16:32:19.934794,134.6410369873047,269.5796203613281,181.08807373046875,340.0025634765625,0.7582162618637085,7,truck
DaeyaIntersection,2023-08-10 16:32:19.934794,124.33495330810547,102.77362060546875,147.97523498535156,115.46185302734375,0.7367108464241028,2,car
DaeyaIntersection,2023-08-10 16:32:19.934794,288.6111755371094,148.19261169433594,303.57513427734375,165.1872100830078,0.6948205232620239,2,car
DaeyaIntersection,2023-08-10 16:32:19.934794,0.0,304.6611633300781,35.423988342285156,344.1142578125,0.6934735178947449,2,car
DaeyaIntersection,2023-08-10 16:32:19.934794,160.0452880859375,338.8285217285156,183.05740356445312,369.80218505859375,0.6629471778869629,2,car
DaeyaIntersection,2023-08-10 16:32:19.934794,269.9328918457031,126.01611328125,285.26324462890625,142.48782348632812,0.49013569951057434,2,car
DaeyaIntersection,2023-08-10 16:32:19.934794,253.32888793945312,107.73329162597656,265.3258056640625,126.74729919433594,0.48419734835624695,2,car
DaeyaIntersection,2023-08-10 16:32:19.934794,277.9317321777344,168.9551239013672,291.77532958984375,196.80609130859375,0.40342968702316284,2,car
DaeyaIntersection,2023-08-10 16:32:19.934794,91.47964477539062,189.06007385253906,122.47444152832031,221.30618286132812,0.3365822732448578,7,truck
DaeyaIntersection,2023-08-10 16:32:19.934794,74.3444595336914,107.30332946777344,95.01913452148438,115.42227172851562,0.31360945105552673,2,car
DaeyaIntersection,2023-08-10 16:32:19.934794,161.3319091796875,326.9239196777344,185.67715454101562,356.1797790527344,0.2998625636100769,2,car
DaeyaIntersection,2023-08-10 16:32:19.934794,278.0860900878906,169.3381805419922,291.3768005371094,195.97247314453125,0.2900627553462982,7,truck
DaeyaIntersection,2023-08-10 16:32:19.934794,252.07382202148438,88.53437805175781,261.5009460449219,97.268798828125,0.28269919753074646,2,car
DaeyaIntersection,2023-08-10 16:32:19.934794,218.65708923339844,85.9107437133789,227.77752685546875,93.7380599975586,0.2623777687549591,2,car
