loc,xmin,ymin,xmax,ymax,confidence,class,name
DaeyaIntersection,124.99691009521484,103.7435302734375,147.6826171875,113.7162094116211,0.7036367654800415,2,car
DaeyaIntersection,106.82605743408203,350.3614196777344,142.50379943847656,378.0,0.6949813365936279,2,car
DaeyaIntersection,289.0097351074219,147.9712371826172,304.8446044921875,165.00770568847656,0.6435075998306274,2,car
DaeyaIntersection,156.0432586669922,329.3789367675781,183.1258544921875,372.16796875,0.6050198078155518,2,car
DaeyaIntersection,180.05545043945312,290.96826171875,212.788330078125,333.0401611328125,0.531171441078186,2,car
DaeyaIntersection,135.19775390625,271.8642883300781,178.88018798828125,338.3824157714844,0.48390161991119385,2,car
DaeyaIntersection,225.6872100830078,269.9647216796875,251.25611877441406,298.74432373046875,0.48327645659446716,2,car
DaeyaIntersection,311.1163635253906,178.198974609375,329.73443603515625,194.7801971435547,0.45801952481269836,2,car
DaeyaIntersection,252.90817260742188,106.72136688232422,267.6475830078125,125.5345458984375,0.31976211071014404,2,car
DaeyaIntersection,327.74090576171875,170.08348083496094,352.3470458984375,190.91064453125,0.26264387369155884,2,car
DaeyaIntersection,90.46849060058594,192.06661987304688,117.85679626464844,219.36685180664062,0.25428861379623413,2,car
