camera_name,time,xmin,ymin,xmax,ymax,confidence,class,name
SincheonIntersection,2023-08-07 10:31:57.419150,528.7938232421875,238.79354858398438,562.0,267.6055603027344,0.723679780960083,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,463.99859619140625,179.162841796875,498.4814147949219,194.33592224121094,0.7078985571861267,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,178.63055419921875,210.1586456298828,204.79656982421875,243.45022583007812,0.6313703656196594,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,475.7806701660156,205.13343811035156,513.7285766601562,226.5169677734375,0.6291177868843079,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,69.92364501953125,157.0536346435547,90.86630249023438,172.0813446044922,0.6085653901100159,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,255.57757568359375,162.0057373046875,271.5773010253906,180.5309295654297,0.5906103253364563,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,250.66395568847656,144.9252471923828,264.4663391113281,166.08506774902344,0.5777364373207092,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,52.627384185791016,328.9964599609375,84.9080581665039,362.6748962402344,0.567980170249939,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,178.7165069580078,210.73643493652344,204.94796752929688,243.43429565429688,0.5319494009017944,7,truck
SincheonIntersection,2023-08-07 10:31:57.419150,244.8584747314453,135.2237091064453,259.6692810058594,150.63546752929688,0.5290749073028564,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,0.0,236.74041748046875,16.66158676147461,265.1183166503906,0.46890178322792053,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,46.739990234375,182.606201171875,70.88016510009766,198.28216552734375,0.4512213170528412,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,254.4755859375,106.07649993896484,267.0834045410156,117.3333740234375,0.43110358715057373,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,56.05335998535156,156.24046325683594,73.32725524902344,170.55308532714844,0.411936491727829,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,193.21316528320312,182.21343994140625,207.0888671875,200.6774444580078,0.41042226552963257,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,235.2103729248047,112.92990112304688,247.9893341064453,128.63755798339844,0.4065307676792145,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,127.04985809326172,134.41514587402344,144.8520965576172,150.59994506835938,0.388232946395874,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,549.5503540039062,224.24447631835938,561.9849243164062,244.92205810546875,0.38076382875442505,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,53.19436264038086,131.1178436279297,80.00424194335938,148.74012756347656,0.3796519637107849,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,19.819412231445312,140.9493408203125,39.395084381103516,153.9178466796875,0.3769809603691101,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,26.934383392333984,154.2782745361328,52.73468780517578,171.0685577392578,0.37562793493270874,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,22.51875114440918,358.7673034667969,77.1341552734375,375.884033203125,0.34527915716171265,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,478.5250244140625,221.7018585205078,494.9535217285156,238.1536865234375,0.34394997358322144,3,motorcycle
SincheonIntersection,2023-08-07 10:31:57.419150,92.62946319580078,116.33086395263672,102.5894775390625,130.41500854492188,0.31049272418022156,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,241.4242401123047,126.56124114990234,253.58636474609375,139.3914337158203,0.3094432055950165,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,69.78546142578125,135.60154724121094,95.26487731933594,149.7422637939453,0.3066570460796356,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,201.745849609375,105.84114074707031,214.3381805419922,121.37065124511719,0.2920803129673004,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,218.23751831054688,74.02751922607422,233.1569061279297,90.27078247070312,0.2811194658279419,2,car
