loc,xmin,ymin,xmax,ymax,confidence,class,name
Je1sunhwan,386.7734680175781,208.39752197265625,448.9941101074219,249.510009765625,0.8704012632369995,2,car
Je1sunhwan,331.0018310546875,166.43197631835938,368.0307312011719,188.68663024902344,0.8538723587989807,2,car
Je1sunhwan,339.8151550292969,244.89016723632812,405.0489196777344,297.26251220703125,0.8131670355796814,2,car
Je1sunhwan,203.85838317871094,255.52818298339844,269.45257568359375,313.787109375,0.7321542501449585,7,truck
Je1sunhwan,216.457275390625,164.5535125732422,248.24417114257812,190.50401306152344,0.7230481505393982,2,car
Je1sunhwan,343.4270935058594,120.8393325805664,387.55596923828125,179.69496154785156,0.7133887410163879,7,truck
Je1sunhwan,426.6181335449219,184.88058471679688,499.72076416015625,234.6278076171875,0.7054650187492371,7,truck
Je1sunhwan,488.2726135253906,177.08273315429688,563.1669311523438,249.54913330078125,0.6591781973838806,7,truck
Je1sunhwan,135.1226043701172,166.5104217529297,163.1338348388672,192.197998046875,0.6560060977935791,2,car
Je1sunhwan,96.83802032470703,172.71002197265625,124.27391815185547,199.9818878173828,0.6137377619743347,2,car
Je1sunhwan,117.37448120117188,131.46180725097656,137.85614013671875,156.44876098632812,0.492808997631073,7,truck
Je1sunhwan,294.57586669921875,123.93255615234375,318.8874816894531,142.852294921875,0.4873307943344116,7,truck
Je1sunhwan,83.2780990600586,84.58284759521484,99.36772918701172,108.1253433227539,0.45532897114753723,7,truck
Je1sunhwan,117.19098663330078,131.5562744140625,137.87051391601562,156.41859436035156,0.44923800230026245,2,car
Je1sunhwan,223.2346649169922,101.25767517089844,243.0500030517578,123.96253967285156,0.4370459318161011,7,truck
Je1sunhwan,156.3707275390625,118.45454406738281,173.5868682861328,134.10105895996094,0.43178677558898926,2,car
Je1sunhwan,173.2074737548828,333.7032775878906,225.9712677001953,375.31109619140625,0.4044332206249237,7,truck
Je1sunhwan,213.1896209716797,127.9295654296875,236.47572326660156,145.4086151123047,0.35804080963134766,2,car
Je1sunhwan,131.95843505859375,122.5040512084961,148.78060913085938,137.51597595214844,0.33803388476371765,2,car
Je1sunhwan,162.12742614746094,81.04878234863281,190.751708984375,101.54922485351562,0.31124141812324524,7,truck
Je1sunhwan,88.9197998046875,134.49351501464844,105.51290130615234,153.3055419921875,0.29409775137901306,2,car
Je1sunhwan,115.54670715332031,109.60324096679688,130.06541442871094,120.76521301269531,0.27120736241340637,2,car
Je1sunhwan,330.7128601074219,166.83981323242188,366.9008483886719,189.62289428710938,0.2533058226108551,7,truck
Je1sunhwan,383.2488708496094,155.10247802734375,441.31787109375,184.70443725585938,0.25311413407325745,7,truck
