camera_name,time,xmin,ymin,xmax,ymax,confidence,class,name
DaeyaIntersection,2023-08-07 10:32:20.982046,180.30323791503906,289.89349365234375,211.2651824951172,330.546630859375,0.8536788821220398,2,car
DaeyaIntersection,2023-08-07 10:32:20.982046,135.14144897460938,269.59429931640625,181.06459045410156,339.0200500488281,0.8388901948928833,7,truck
DaeyaIntersection,2023-08-07 10:32:20.982046,225.210693359375,268.8949890136719,251.21243286132812,299.9129638671875,0.7962002754211426,2,car
DaeyaIntersection,2023-08-07 10:32:20.982046,160.0459747314453,327.5246276855469,185.50672912597656,369.94000244140625,0.7658873200416565,2,car
DaeyaIntersection,2023-08-07 10:32:20.982046,288.15667724609375,147.6854248046875,303.7715759277344,164.55221557617188,0.7398790121078491,2,car
DaeyaIntersection,2023-08-07 10:32:20.982046,311.2043762207031,179.43235778808594,329.1749572753906,195.92593383789062,0.7392512559890747,2,car
DaeyaIntersection,2023-08-07 10:32:20.982046,105.86687469482422,351.426025390625,142.93275451660156,377.3646240234375,0.7337591052055359,2,car
DaeyaIntersection,2023-08-07 10:32:20.982046,91.44866180419922,187.5923309326172,126.95542907714844,221.617919921875,0.7208815217018127,7,truck
DaeyaIntersection,2023-08-07 10:32:20.982046,0.04608293995261192,304.6551513671875,35.75524139404297,346.3675231933594,0.6269984245300293,2,car
DaeyaIntersection,2023-08-07 10:32:20.982046,269.9906005859375,125.43496704101562,284.3697509765625,142.65621948242188,0.5343555212020874,2,car
DaeyaIntersection,2023-08-07 10:32:20.982046,253.7727508544922,108.40286254882812,266.38720703125,126.53636169433594,0.49161773920059204,2,car
DaeyaIntersection,2023-08-07 10:32:20.982046,277.8768005371094,168.97311401367188,291.3063659667969,196.98216247558594,0.43362101912498474,7,truck
DaeyaIntersection,2023-08-07 10:32:20.982046,124.64117431640625,102.94755554199219,148.5786895751953,114.72480773925781,0.42511484026908875,2,car
DaeyaIntersection,2023-08-07 10:32:20.982046,277.9494323730469,168.9561309814453,291.44439697265625,196.79994201660156,0.38001343607902527,2,car
DaeyaIntersection,2023-08-07 10:32:20.982046,218.48275756835938,85.71381378173828,227.6376495361328,93.75515747070312,0.3296717405319214,2,car
DaeyaIntersection,2023-08-07 10:32:20.982046,201.84994506835938,98.46038818359375,210.99688720703125,112.87788391113281,0.31310054659843445,2,car
DaeyaIntersection,2023-08-07 10:32:20.982046,251.7262420654297,87.73869323730469,261.7830810546875,96.15312957763672,0.2883964776992798,2,car
