loc,xmin,ymin,xmax,ymax,confidence,class,name
DaeyaIntersection,99.08123779296875,224.14602661132812,125.55777740478516,255.41737365722656,0.8284616470336914,2,car
DaeyaIntersection,214.3526153564453,175.86898803710938,230.8120574951172,195.830322265625,0.7719540596008301,2,car
DaeyaIntersection,116.36245727539062,247.25794982910156,141.36561584472656,268.1297607421875,0.7545320987701416,2,car
DaeyaIntersection,134.08543395996094,212.14955139160156,154.5086212158203,243.20240783691406,0.6313042640686035,2,car
DaeyaIntersection,98.32325744628906,119.53901672363281,115.25138854980469,137.47984313964844,0.512440025806427,2,car
DaeyaIntersection,125.8521728515625,182.7884521484375,150.0037384033203,219.77113342285156,0.3844245970249176,2,car
DaeyaIntersection,105.39920043945312,228.0312957763672,135.90777587890625,262.2829284667969,0.3636894226074219,2,car
DaeyaIntersection,66.48085021972656,142.4730987548828,85.87053680419922,161.33033752441406,0.3479205369949341,2,car
DaeyaIntersection,146.9790496826172,35.8536491394043,151.00100708007812,42.57168197631836,0.303586483001709,9,traffic light
DaeyaIntersection,124.90039825439453,231.04248046875,149.4951934814453,269.0,0.290124773979187,2,car
