loc,xmin,ymin,xmax,ymax,confidence,class,name
Je1sunhwan,198.22972106933594,213.71043395996094,215.46226501464844,234.28366088867188,0.6928778886795044,2,car
Je1sunhwan,351.8428955078125,134.3561553955078,360.50506591796875,142.83180236816406,0.6783424019813538,2,car
Je1sunhwan,427.76202392578125,212.3179931640625,457.4151306152344,231.72019958496094,0.6430397033691406,2,car
Je1sunhwan,163.99154663085938,284.74603271484375,192.71945190429688,328.1186218261719,0.6372158527374268,7,truck
Je1sunhwan,76.8135757446289,236.9998321533203,106.82096862792969,269.6151123046875,0.6092772483825684,7,truck
Je1sunhwan,121.79171752929688,204.13082885742188,146.0718994140625,228.53863525390625,0.5665784478187561,2,car
Je1sunhwan,57.00970458984375,214.6255340576172,89.82002258300781,254.94227600097656,0.5409326553344727,7,truck
Je1sunhwan,163.48193359375,213.5251007080078,184.35389709472656,238.19288635253906,0.4742552936077118,2,car
Je1sunhwan,221.86158752441406,176.30441284179688,233.87355041503906,189.69342041015625,0.4730556011199951,2,car
Je1sunhwan,390.9234619140625,140.87342834472656,414.2257995605469,163.70225524902344,0.46560055017471313,7,truck
Je1sunhwan,336.2607421875,120.28316497802734,347.1260070800781,132.3415985107422,0.4408513605594635,2,car
Je1sunhwan,104.78868103027344,182.82421875,141.4774169921875,210.92721557617188,0.43361490964889526,7,truck
Je1sunhwan,160.1774139404297,160.29779052734375,173.24229431152344,169.7465057373047,0.40021204948425293,2,car
Je1sunhwan,341.39239501953125,142.6087646484375,352.241943359375,151.27752685546875,0.3906502425670624,2,car
Je1sunhwan,150.51837158203125,182.27529907226562,169.12637329101562,198.5614776611328,0.3906245231628418,2,car
Je1sunhwan,182.9024200439453,121.5585708618164,211.6261749267578,145.89047241210938,0.33066362142562866,5,bus
Je1sunhwan,390.46630859375,140.78619384765625,414.35113525390625,163.1348419189453,0.2754208445549011,6,train
Je1sunhwan,183.84652709960938,121.79239654541016,211.50341796875,146.21115112304688,0.2720051407814026,7,truck
Je1sunhwan,228.4219512939453,139.61119079589844,239.93576049804688,149.1444549560547,0.26194998621940613,2,car
