loc,xmin,ymin,xmax,ymax,confidence,class,name
Je1sunhwan,390.16156005859375,141.25439453125,413.7960510253906,163.7292938232422,0.7480353116989136,7,truck
Je1sunhwan,122.2676010131836,204.71768188476562,145.58335876464844,227.9807891845703,0.666494607925415,2,car
Je1sunhwan,199.15586853027344,213.9906463623047,215.39402770996094,234.74325561523438,0.6273785829544067,2,car
Je1sunhwan,164.1757354736328,213.7510986328125,184.39857482910156,238.80836486816406,0.6235446333885193,2,car
Je1sunhwan,76.2175064086914,237.2064971923828,107.505615234375,270.70404052734375,0.6232472062110901,7,truck
Je1sunhwan,351.43701171875,134.3807830810547,360.85009765625,142.69796752929688,0.6070252060890198,2,car
Je1sunhwan,56.70476531982422,214.9273681640625,90.63432312011719,256.7331848144531,0.6040628552436829,7,truck
Je1sunhwan,164.18731689453125,284.63897705078125,193.07785034179688,328.4681396484375,0.5909510254859924,5,bus
Je1sunhwan,460.5888977050781,182.3847198486328,506.4463806152344,220.64317321777344,0.5467174649238586,7,truck
Je1sunhwan,221.7753143310547,176.0672607421875,234.06771850585938,190.14859008789062,0.5276297926902771,2,car
Je1sunhwan,159.97962951660156,161.0508575439453,172.2384796142578,170.58473205566406,0.5201820135116577,2,car
Je1sunhwan,150.69944763183594,180.851806640625,168.7720947265625,198.3429412841797,0.5150790214538574,2,car
Je1sunhwan,428.4983825683594,211.51528930664062,456.8356018066406,231.6550750732422,0.5120653510093689,2,car
Je1sunhwan,217.073974609375,149.02281188964844,229.54470825195312,163.36537170410156,0.5116509795188904,2,car
Je1sunhwan,185.2613983154297,142.5039825439453,196.1601104736328,153.51795959472656,0.48838815093040466,2,car
Je1sunhwan,460.5392150878906,182.26600646972656,506.00811767578125,221.4279022216797,0.43941453099250793,5,bus
Je1sunhwan,172.55335998535156,153.01097106933594,185.1617431640625,162.64308166503906,0.41631922125816345,2,car
Je1sunhwan,192.22032165527344,151.89259338378906,203.03843688964844,163.14743041992188,0.3809053897857666,2,car
Je1sunhwan,105.1880874633789,185.53671264648438,126.63784790039062,210.93699645996094,0.36379244923591614,7,truck
Je1sunhwan,228.43746948242188,140.3411865234375,238.98118591308594,149.06549072265625,0.3584980070590973,2,car
Je1sunhwan,104.84173583984375,186.2144317626953,125.1550064086914,211.03565979003906,0.2855275571346283,2,car
