loc,xmin,ymin,xmax,ymax,confidence,class,name
Je1sunhwan,427.77142333984375,211.78790283203125,456.8288879394531,231.52845764160156,0.8710639476776123,2,car
Je1sunhwan,390.4964599609375,141.30416870117188,414.019775390625,164.60205078125,0.8379544615745544,7,truck
Je1sunhwan,56.87275695800781,215.26641845703125,90.13971710205078,253.82095336914062,0.8095006346702576,7,truck
Je1sunhwan,163.34429931640625,285.1453857421875,194.4834442138672,328.8960266113281,0.8053537607192993,7,truck
Je1sunhwan,76.94364929199219,237.5947265625,107.83692169189453,270.5829772949219,0.7896738052368164,7,truck
Je1sunhwan,460.84112548828125,181.26199340820312,505.8879089355469,217.3437957763672,0.7268412113189697,7,truck
Je1sunhwan,198.88861083984375,213.72377014160156,216.48411560058594,234.9999237060547,0.7176686525344849,2,car
Je1sunhwan,122.13230895996094,204.65493774414062,145.6522216796875,228.20281982421875,0.6994249224662781,2,car
Je1sunhwan,105.1131362915039,184.71726989746094,135.67628479003906,211.19691467285156,0.6923018097877502,7,truck
Je1sunhwan,221.814453125,176.53192138671875,233.6980438232422,190.3402099609375,0.5858761072158813,2,car
Je1sunhwan,163.8876190185547,212.75082397460938,184.8392333984375,238.53164672851562,0.5763306617736816,2,car
Je1sunhwan,351.38348388671875,135.00990295410156,360.9252624511719,143.35987854003906,0.49763062596321106,2,car
Je1sunhwan,461.10662841796875,181.46112060546875,505.4971923828125,219.02252197265625,0.4352157711982727,5,bus
Je1sunhwan,163.8759002685547,213.06704711914062,184.81541442871094,238.81861877441406,0.3963565528392792,7,truck
Je1sunhwan,341.8729553222656,144.3905792236328,351.2989807128906,151.0708465576172,0.3650195300579071,2,car
Je1sunhwan,217.77996826171875,149.42074584960938,229.39813232421875,163.50106811523438,0.3623937964439392,2,car
Je1sunhwan,159.66943359375,158.53208923339844,173.43421936035156,171.06214904785156,0.36122357845306396,2,car
Je1sunhwan,151.006103515625,177.4579315185547,170.24012756347656,198.71466064453125,0.35974815487861633,7,truck
Je1sunhwan,151.12200927734375,178.26174926757812,169.9633026123047,198.6025848388672,0.35602444410324097,2,car
Je1sunhwan,229.57025146484375,141.70838928222656,238.29013061523438,149.27072143554688,0.3442011773586273,2,car
Je1sunhwan,336.1747741699219,120.2608413696289,346.7144470214844,132.51744079589844,0.3077957332134247,7,truck
Je1sunhwan,190.00823974609375,151.27206420898438,203.6777801513672,163.09669494628906,0.28563496470451355,2,car
Je1sunhwan,185.3021697998047,143.10491943359375,196.2332000732422,153.1152801513672,0.2838035523891449,2,car
Je1sunhwan,177.12030029296875,160.59613037109375,191.19407653808594,174.6785888671875,0.26692995429039,2,car
Je1sunhwan,242.81898498535156,143.6005096435547,251.1996612548828,152.73849487304688,0.26029837131500244,2,car
Je1sunhwan,213.0100555419922,121.11449432373047,224.24563598632812,136.54600524902344,0.25661101937294006,7,truck
