name,time,xmin,ymin,xmax,ymax,confidence,class
WolgotIC,2023-08-07 10:34:16.384834,185.7959747314453,176.72532653808594,216.4368133544922,191.32986450195312,0.7873780131340027,2
WolgotIC,2023-08-07 10:34:16.384834,16.935413360595703,192.02049255371094,70.1976318359375,218.8854522705078,0.7759544849395752,2
WolgotIC,2023-08-07 10:34:16.384834,215.84815979003906,175.2216033935547,246.92845153808594,192.24046325683594,0.7687137126922607,2
WolgotIC,2023-08-07 10:34:16.384834,447.0218505859375,163.13626098632812,459.9844055175781,174.2172393798828,0.613387942314148,2
WolgotIC,2023-08-07 10:34:16.384834,456.112060546875,148.26434326171875,468.9261169433594,160.9265899658203,0.5696274042129517,2
WolgotIC,2023-08-07 10:34:16.384834,329.72601318359375,148.27268981933594,343.6382141113281,159.49769592285156,0.5608053803443909,2
WolgotIC,2023-08-07 10:34:16.384834,310.0487365722656,155.02398681640625,326.5294494628906,168.15711975097656,0.5253605246543884,2
WolgotIC,2023-08-07 10:34:16.384834,247.3448028564453,160.82769775390625,266.6274108886719,172.7494354248047,0.49874091148376465,2
WolgotIC,2023-08-07 10:34:16.384834,271.0007019042969,159.71429443359375,302.5445556640625,184.11183166503906,0.4111679494380951,5
WolgotIC,2023-08-07 10:34:16.384834,422.2256164550781,145.412109375,436.6565856933594,158.3340301513672,0.3629929721355438,2
WolgotIC,2023-08-07 10:34:16.384834,0.007179736625403166,253.45516967773438,99.58035278320312,309.4645080566406,0.3390239179134369,13
WolgotIC,2023-08-07 10:34:16.384834,426.0727233886719,151.07635498046875,436.7687683105469,159.02001953125,0.33347728848457336,2
WolgotIC,2023-08-07 10:34:16.384834,269.9452209472656,158.66159057617188,303.1099853515625,184.20175170898438,0.33241981267929077,7
WolgotIC,2023-08-07 10:34:16.384834,419.2563781738281,141.45068359375,435.8506164550781,154.20785522460938,0.28241661190986633,2
