camera_name,time,xmin,ymin,xmax,ymax,confidence,class,name
WolgotIC,2023-08-07 10:34:16.384834,15.411659240722656,192.25082397460938,69.23921966552734,218.94265747070312,0.9020962715148926,2,car
WolgotIC,2023-08-07 10:34:16.384834,185.75889587402344,175.74302673339844,216.13136291503906,191.65574645996094,0.8452378511428833,2,car
WolgotIC,2023-08-07 10:34:16.384834,215.59609985351562,174.63816833496094,246.78636169433594,192.6040496826172,0.826511561870575,2,car
WolgotIC,2023-08-07 10:34:16.384834,446.3364562988281,162.86093139648438,460.4912109375,174.1240234375,0.7852988839149475,2,car
WolgotIC,2023-08-07 10:34:16.384834,273.8841552734375,159.54708862304688,301.2528381347656,184.32623291015625,0.7487533688545227,7,truck
WolgotIC,2023-08-07 10:34:16.384834,455.792724609375,148.86497497558594,469.5246276855469,161.1216278076172,0.6609813570976257,2,car
WolgotIC,2023-08-07 10:34:16.384834,310.5648193359375,156.16656494140625,325.33441162109375,168.16213989257812,0.6238986253738403,2,car
WolgotIC,2023-08-07 10:34:16.384834,246.26287841796875,160.50537109375,266.85107421875,173.24742126464844,0.6230701804161072,2,car
WolgotIC,2023-08-07 10:34:16.384834,426.41778564453125,151.1003875732422,436.8811340332031,159.32931518554688,0.611754298210144,2,car
WolgotIC,2023-08-07 10:34:16.384834,329.7852783203125,148.80426025390625,344.1697692871094,159.68325805664062,0.5376148223876953,2,car
WolgotIC,2023-08-07 10:34:16.384834,269.4366760253906,160.1008758544922,282.3822937011719,174.07022094726562,0.4333159923553467,2,car
WolgotIC,2023-08-07 10:34:16.384834,419.6138916015625,142.28973388671875,432.4741516113281,154.05711364746094,0.42033830285072327,2,car
WolgotIC,2023-08-07 10:34:16.384834,439.01153564453125,142.8122100830078,448.3670959472656,148.69976806640625,0.344839483499527,2,car
WolgotIC,2023-08-07 10:34:16.384834,300.3294372558594,156.44589233398438,309.6922302246094,163.0634002685547,0.3302989900112152,2,car
WolgotIC,2023-08-07 10:34:16.384834,422.1776428222656,146.16725158691406,436.8117370605469,158.9553985595703,0.31761282682418823,2,car
WolgotIC,2023-08-07 10:34:16.384834,385.0362854003906,145.0358428955078,394.36285400390625,151.42909240722656,0.25407758355140686,2,car
