camera_name,time,xmin,ymin,xmax,ymax,confidence,class,name
Je1sunhwan,2023-08-07 10:32:55.852889,331.54888916015625,165.9178924560547,367.66357421875,188.21055603027344,0.8352199792861938,2,car
Je1sunhwan,2023-08-07 10:32:55.852889,135.22857666015625,166.6611328125,164.05029296875,191.87574768066406,0.8004419803619385,2,car
Je1sunhwan,2023-08-07 10:32:55.852889,387.0713195800781,207.86683654785156,448.505126953125,248.336669921875,0.7951006889343262,2,car
Je1sunhwan,2023-08-07 10:32:55.852889,216.76197814941406,164.5299530029297,248.71788024902344,190.10475158691406,0.7888429760932922,2,car
Je1sunhwan,2023-08-07 10:32:55.852889,426.531982421875,183.77581787109375,499.6471252441406,234.97525024414062,0.777495801448822,7,truck
Je1sunhwan,2023-08-07 10:32:55.852889,97.4271469116211,172.38804626464844,124.1517105102539,199.5859375,0.7734618186950684,2,car
Je1sunhwan,2023-08-07 10:32:55.852889,339.9291076660156,243.9701690673828,404.9906311035156,294.2957458496094,0.7624909281730652,2,car
Je1sunhwan,2023-08-07 10:32:55.852889,203.2542266845703,257.1543273925781,269.58233642578125,313.7574157714844,0.634111762046814,7,truck
Je1sunhwan,2023-08-07 10:32:55.852889,117.69815826416016,132.3275909423828,137.66543579101562,156.27796936035156,0.5705808997154236,2,car
Je1sunhwan,2023-08-07 10:32:55.852889,71.83170318603516,99.8390121459961,83.06734466552734,113.89580535888672,0.5480791330337524,2,car
Je1sunhwan,2023-08-07 10:32:55.852889,213.63673400878906,128.13134765625,236.59991455078125,145.38400268554688,0.534455418586731,2,car
Je1sunhwan,2023-08-07 10:32:55.852889,165.74545288085938,80.45121765136719,188.80990600585938,101.26390075683594,0.5118139386177063,7,truck
Je1sunhwan,2023-08-07 10:32:55.852889,132.0393829345703,122.59508514404297,148.54791259765625,137.41421508789062,0.48549431562423706,2,car
Je1sunhwan,2023-08-07 10:32:55.852889,207.23886108398438,97.40552520751953,227.87086486816406,127.07833099365234,0.4728114604949951,7,truck
Je1sunhwan,2023-08-07 10:32:55.852889,294.48980712890625,124.22470092773438,319.3400573730469,142.264404296875,0.4283788204193115,7,truck
Je1sunhwan,2023-08-07 10:32:55.852889,115.93229675292969,109.8805923461914,129.31703186035156,120.7850341796875,0.41098105907440186,2,car
Je1sunhwan,2023-08-07 10:32:55.852889,222.60504150390625,101.57880401611328,242.7950439453125,124.4985580444336,0.38405123353004456,7,truck
Je1sunhwan,2023-08-07 10:32:55.852889,343.7449951171875,121.69783020019531,384.2996520996094,163.22657775878906,0.3775918781757355,7,truck
Je1sunhwan,2023-08-07 10:32:55.852889,156.7845001220703,118.2559585571289,173.6433868408203,134.00779724121094,0.3544473350048065,2,car
Je1sunhwan,2023-08-07 10:32:55.852889,83.03524780273438,84.74314880371094,98.82392120361328,107.95854949951172,0.3145708441734314,7,truck
Je1sunhwan,2023-08-07 10:32:55.852889,248.81614685058594,127.31155395507812,273.7880554199219,147.20120239257812,0.31280815601348877,2,car
Je1sunhwan,2023-08-07 10:32:55.852889,86.1571273803711,134.0787353515625,105.16571807861328,153.38063049316406,0.2924894690513611,2,car
Je1sunhwan,2023-08-07 10:32:55.852889,489.7000732421875,176.5616455078125,563.93896484375,247.7865753173828,0.2795552909374237,7,truck
Je1sunhwan,2023-08-07 10:32:55.852889,170.12896728515625,106.93077850341797,184.62135314941406,117.65911102294922,0.2613394558429718,2,car
