loc,xmin,ymin,xmax,ymax,confidence,class,name
Je1sunhwan,161.69186401367188,219.0076446533203,183.48239135742188,238.87753295898438,0.5349711775779724,2,car
Je1sunhwan,72.91719055175781,239.53775024414062,104.1921157836914,270.23406982421875,0.5091745257377625,2,car
Je1sunhwan,221.8090057373047,175.79290771484375,234.30694580078125,186.796142578125,0.4415997266769409,2,car
Je1sunhwan,150.5118408203125,182.68421936035156,168.32611083984375,199.4237823486328,0.3849896192550659,2,car
Je1sunhwan,105.75736236572266,195.16795349121094,125.14476776123047,212.05650329589844,0.37791281938552856,2,car
Je1sunhwan,121.97087860107422,215.48780822753906,141.816162109375,229.3702392578125,0.3661608397960663,2,car
Je1sunhwan,163.64837646484375,286.0558166503906,192.7107696533203,330.88885498046875,0.3507407307624817,7,truck
Je1sunhwan,429.783935546875,212.5536651611328,456.31451416015625,230.7420654296875,0.28447267413139343,2,car
Je1sunhwan,175.79917907714844,151.7757110595703,193.19378662109375,173.1683349609375,0.2751483619213104,2,car
Je1sunhwan,105.70393371582031,183.3060760498047,138.2953643798828,210.36126708984375,0.2700044512748718,2,car
