name,time,xmin,ymin,xmax,ymax,confidence,class
DaeyaIntersection,2023-08-07 10:32:20.982046,180.03439331054688,290.0481872558594,210.89181518554688,330.8677673339844,0.8727194666862488,2
DaeyaIntersection,2023-08-07 10:32:20.982046,134.8555145263672,269.0606994628906,181.45126342773438,339.4570617675781,0.8593050241470337,7
DaeyaIntersection,2023-08-07 10:32:20.982046,105.423583984375,351.2730407714844,142.50320434570312,377.6767883300781,0.8470155596733093,2
DaeyaIntersection,2023-08-07 10:32:20.982046,225.2176055908203,269.4927062988281,251.0218505859375,299.4874572753906,0.8056402206420898,2
DaeyaIntersection,2023-08-07 10:32:20.982046,288.0636901855469,148.45513916015625,303.9786071777344,164.74559020996094,0.7477629780769348,2
DaeyaIntersection,2023-08-07 10:32:20.982046,159.36410522460938,327.8840026855469,185.3089599609375,369.50506591796875,0.743299663066864,2
DaeyaIntersection,2023-08-07 10:32:20.982046,310.9392395019531,179.319091796875,328.79278564453125,195.8654327392578,0.6915813088417053,2
DaeyaIntersection,2023-08-07 10:32:20.982046,91.37653350830078,188.2675018310547,126.22947692871094,221.8865509033203,0.6128923892974854,7
DaeyaIntersection,2023-08-07 10:32:20.982046,0.0,304.3446960449219,35.48051452636719,356.1943054199219,0.5749021768569946,2
DaeyaIntersection,2023-08-07 10:32:20.982046,277.9846496582031,169.46505737304688,291.3970642089844,196.46383666992188,0.5641010999679565,7
DaeyaIntersection,2023-08-07 10:32:20.982046,124.7657699584961,102.9481201171875,148.63775634765625,115.02571868896484,0.48686882853507996,2
DaeyaIntersection,2023-08-07 10:32:20.982046,251.44198608398438,87.74827575683594,262.0245056152344,96.75008392333984,0.41742751002311707,2
DaeyaIntersection,2023-08-07 10:32:20.982046,270.7994689941406,126.1679916381836,283.7026062011719,142.20175170898438,0.4137175679206848,2
DaeyaIntersection,2023-08-07 10:32:20.982046,254.1671600341797,108.69414520263672,265.4280090332031,126.2634048461914,0.4066966772079468,7
DaeyaIntersection,2023-08-07 10:32:20.982046,219.2091064453125,85.63323211669922,227.73353576660156,93.60635375976562,0.38112759590148926,2
DaeyaIntersection,2023-08-07 10:32:20.982046,254.31964111328125,108.639892578125,265.4669189453125,126.15245056152344,0.34144237637519836,2
DaeyaIntersection,2023-08-07 10:32:20.982046,73.2994155883789,106.20366668701172,95.20966339111328,115.35859680175781,0.2950308918952942,2
