camera_name,time,xmin,ymin,xmax,ymax,confidence,class,name
SincheonIntersection,2023-08-07 10:31:57.419150,464.2771301269531,178.47520446777344,495.7345275878906,194.83209228515625,0.7436727285385132,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,528.3102416992188,238.52957153320312,562.0,268.2599182128906,0.6695724129676819,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,177.8289794921875,211.95603942871094,205.5387420654297,243.14779663085938,0.6255250573158264,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,475.3506164550781,204.94351196289062,514.3672485351562,228.1143341064453,0.6219486594200134,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,255.5368194580078,162.26832580566406,270.7156066894531,180.3824462890625,0.5656284093856812,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,53.7775993347168,328.8946838378906,84.96945190429688,360.8590087890625,0.5130807757377625,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,233.8160858154297,109.87471008300781,248.48753356933594,127.8781509399414,0.41176027059555054,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,254.5080108642578,100.65426635742188,267.0902099609375,117.1424331665039,0.41172468662261963,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,251.0238800048828,147.67845153808594,264.29486083984375,164.56582641601562,0.3664287030696869,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,191.5984344482422,185.52993774414062,206.7085723876953,200.71983337402344,0.3144415020942688,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,202.05345153808594,108.74124908447266,213.8018798828125,121.03314971923828,0.31339406967163086,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,0.0,240.55184936523438,15.326414108276367,264.550048828125,0.2966143488883972,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,48.1929817199707,156.50738525390625,72.36711883544922,170.89639282226562,0.275104284286499,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,26.375507354736328,155.27513122558594,53.252071380615234,170.69320678710938,0.26798540353775024,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,234.05247497558594,43.982662200927734,244.51939392089844,52.58661651611328,0.2585127353668213,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,126.99192810058594,134.17051696777344,145.02557373046875,149.6597442626953,0.2562025785446167,2,car
SincheonIntersection,2023-08-07 10:31:57.419150,21.556154251098633,358.0693054199219,73.51658630371094,375.87872314453125,0.2521890103816986,2,car
