name,time,xmin,ymin,xmax,ymax,confidence,class
WolgotIC,2023-08-07 10:34:16.384834,15.11229133605957,192.0377960205078,69.95298767089844,218.20748901367188,0.8227538466453552,2
WolgotIC,2023-08-07 10:34:16.384834,214.95260620117188,173.90834045410156,246.0642852783203,192.221923828125,0.7218394875526428,2
WolgotIC,2023-08-07 10:34:16.384834,185.9598846435547,178.70220947265625,214.38201904296875,191.96719360351562,0.6973580718040466,2
WolgotIC,2023-08-07 10:34:16.384834,456.3642272949219,148.34812927246094,468.890869140625,160.06570434570312,0.6424075961112976,2
WolgotIC,2023-08-07 10:34:16.384834,330.1851806640625,148.3060760498047,344.23797607421875,159.106689453125,0.598940372467041,2
WolgotIC,2023-08-07 10:34:16.384834,247.62466430664062,161.6517791748047,266.1228332519531,172.63238525390625,0.5604648590087891,2
WolgotIC,2023-08-07 10:34:16.384834,421.5687255859375,144.69509887695312,436.3966064453125,159.29299926757812,0.5243781208992004,2
WolgotIC,2023-08-07 10:34:16.384834,445.5339050292969,163.08673095703125,460.85614013671875,174.11538696289062,0.5022690296173096,2
WolgotIC,2023-08-07 10:34:16.384834,370.7585754394531,149.47006225585938,386.0914001464844,158.48260498046875,0.44320935010910034,2
WolgotIC,2023-08-07 10:34:16.384834,270.3809814453125,159.1315460205078,300.2307434082031,184.0176544189453,0.4046078622341156,5
WolgotIC,2023-08-07 10:34:16.384834,309.2325744628906,155.5514373779297,325.14678955078125,166.9317169189453,0.31886497139930725,2
